Seismic Vulnerability Index of Microtremor (SVIM) Output
Station =  c0c02231120035925
Longitude =  1.000000
Latitude =  2.000000
Window =  62
Length Window =  25
Standard Deviation (F0) =  0.354545
A0 =  3.901196
F0 =  0.177419
Kg =  85.781677
Fmin =  0.062903
Fmax =  0.500415
Freq     H/V      SpecH/V  MinStd   MaxStd 
5.316129 0.697802 0.698173 0.662336 0.733268
5.325806 0.699311 0.701774 0.663769 0.734852
5.335484 0.700815 0.706904 0.665198 0.736431
5.345161 0.702312 0.709165 0.666621 0.738003
5.354839 0.703801 0.710490 0.668037 0.739566
5.364516 0.705282 0.711907 0.669444 0.741121
5.374194 0.706753 0.717240 0.670841 0.742664
5.383871 0.708212 0.722679 0.672229 0.744196
5.393548 0.709659 0.726246 0.673604 0.745715
5.403226 0.711093 0.727688 0.674968 0.747219
5.412903 0.712513 0.728521 0.676318 0.748708
5.422581 0.713917 0.726929 0.677653 0.750181
5.432258 0.715306 0.725673 0.678974 0.751637
5.441935 0.716677 0.725906 0.680278 0.753076
5.451613 0.718031 0.729267 0.681566 0.754495
5.461290 0.719366 0.733507 0.682837 0.755895
5.470968 0.720682 0.735866 0.684090 0.757274
5.480645 0.721979 0.734520 0.685325 0.758633
5.490323 0.723255 0.731677 0.686541 0.759970
5.500000 0.724511 0.728828 0.687737 0.761285
5.509677 0.725746 0.725981 0.688914 0.762578
5.519355 0.726960 0.723143 0.690071 0.763848
5.529032 0.728151 0.720323 0.691208 0.765095
5.538710 0.729321 0.720091 0.692324 0.766318
5.548387 0.730469 0.722199 0.693420 0.767518
5.558065 0.731595 0.723304 0.694496 0.768694
5.567742 0.732698 0.723502 0.695550 0.769846
5.577419 0.733780 0.724580 0.696585 0.770975
5.587097 0.734839 0.728277 0.697599 0.772079
5.596774 0.735876 0.734043 0.698592 0.773159
5.606452 0.736891 0.739227 0.699566 0.774216
5.616129 0.737884 0.744129 0.700520 0.775249
5.625806 0.738856 0.749484 0.701454 0.776258
5.635484 0.739807 0.754868 0.702370 0.777245
5.645161 0.740737 0.759203 0.703266 0.778208
5.654839 0.741647 0.760581 0.704145 0.779150
5.664516 0.742537 0.760485 0.705006 0.780069
5.674194 0.743408 0.760933 0.705849 0.780966
5.683871 0.744259 0.761513 0.706676 0.781843
5.693548 0.745093 0.763335 0.707486 0.782699
5.703226 0.745908 0.765384 0.708282 0.783534
5.712903 0.746706 0.763653 0.709062 0.784351
5.722581 0.747488 0.760564 0.709829 0.785148
5.732258 0.748254 0.761394 0.710581 0.785927
5.741935 0.749005 0.764764 0.711322 0.786688
5.751613 0.749741 0.768037 0.712050 0.787433
5.761290 0.750464 0.770244 0.712767 0.788161
5.770968 0.751173 0.770253 0.713473 0.788873
5.780645 0.751870 0.768997 0.714169 0.789570
5.790323 0.752555 0.767372 0.714857 0.790254
5.800000 0.753230 0.765303 0.715536 0.790923
5.809677 0.753894 0.763253 0.716207 0.791580
5.819355 0.754549 0.761400 0.716872 0.792225
5.829032 0.755195 0.759505 0.717531 0.792859
5.838710 0.755833 0.757643 0.718184 0.793482
5.848387 0.756464 0.755773 0.718832 0.794095
5.858065 0.757088 0.754000 0.719477 0.794699
5.867742 0.757706 0.752307 0.720118 0.795295
5.877419 0.758319 0.751352 0.720756 0.795883
5.887097 0.758928 0.752205 0.721392 0.796464
5.896774 0.759532 0.753530 0.722027 0.797038
5.906452 0.760134 0.754560 0.722660 0.797607
5.916129 0.760732 0.755710 0.723294 0.798170
5.925806 0.761328 0.756959 0.723927 0.798729
5.935484 0.761923 0.756957 0.724560 0.799285
5.945161 0.762516 0.755124 0.725195 0.799836
5.954839 0.763108 0.756867 0.725831 0.800385
5.964516 0.763700 0.758117 0.726469 0.800932
5.974194 0.764293 0.756990 0.727108 0.801477
5.983871 0.764886 0.754067 0.727751 0.802021
5.993548 0.765480 0.751277 0.728395 0.802564
6.003226 0.766075 0.748626 0.729043 0.803106
6.012903 0.766671 0.746292 0.729693 0.803649
6.022581 0.767269 0.745676 0.730347 0.804192
6.032258 0.767870 0.749092 0.731004 0.804735
6.041935 0.768472 0.753992 0.731665 0.805280
6.051613 0.769077 0.758792 0.732329 0.805826
6.061290 0.769685 0.763091 0.732997 0.806373
6.070968 0.770295 0.765146 0.733668 0.806922
6.080645 0.770908 0.765179 0.734342 0.807474
6.090323 0.771524 0.763980 0.735021 0.808027
6.100000 0.772143 0.763046 0.735702 0.808583
6.109677 0.772764 0.763710 0.736387 0.809142
6.119355 0.773389 0.767139 0.737075 0.809703
6.129032 0.774017 0.770148 0.737766 0.810268
6.138710 0.774647 0.770149 0.738459 0.810835
6.148387 0.775280 0.768674 0.739156 0.811405
6.158065 0.775916 0.768875 0.739855 0.811978
6.167742 0.776555 0.768163 0.740556 0.812554
6.177419 0.777196 0.766703 0.741259 0.813134
6.187097 0.777840 0.765406 0.741964 0.813716
6.196774 0.778486 0.766593 0.742670 0.814301
6.206452 0.779134 0.768312 0.743377 0.814890
6.216129 0.779784 0.770710 0.744086 0.815481
6.225806 0.780436 0.773097 0.744795 0.816076
6.235484 0.781089 0.775432 0.745505 0.816674
6.245161 0.781744 0.776925 0.746215 0.817274
6.254839 0.782401 0.778616 0.746925 0.817877
6.264516 0.783059 0.780988 0.747634 0.818483
6.274194 0.783718 0.784322 0.748343 0.819092
6.283871 0.784377 0.787671 0.749051 0.819704
6.293548 0.785038 0.791028 0.749758 0.820318
6.303226 0.785699 0.794385 0.750464 0.820934
6.312903 0.786361 0.796933 0.751168 0.821553
6.322581 0.787023 0.794842 0.751870 0.822175
6.332258 0.787685 0.794636 0.752571 0.822799
6.341935 0.788347 0.792590 0.753269 0.823425
6.351613 0.789009 0.790975 0.753965 0.824053
6.361290 0.789671 0.790029 0.754659 0.824683
6.370968 0.790333 0.790768 0.755351 0.825316
6.380645 0.790995 0.794751 0.756039 0.825951
6.390323 0.791657 0.798165 0.756725 0.826588
6.400000 0.792318 0.798962 0.757408 0.827227
6.409677 0.792979 0.798692 0.758089 0.827868
6.419355 0.793639 0.799318 0.758767 0.828512
6.429032 0.794299 0.799839 0.759441 0.829157
6.438710 0.794959 0.800619 0.760114 0.829805
6.448387 0.795619 0.802489 0.760783 0.830455
6.458065 0.796279 0.804179 0.761450 0.831108
6.467742 0.796938 0.806599 0.762114 0.831763
6.477419 0.797598 0.806471 0.762776 0.832420
6.487097 0.798257 0.803106 0.763435 0.833080
6.496774 0.798918 0.799444 0.764092 0.833743
6.506452 0.799578 0.799274 0.764748 0.834408
6.516129 0.800239 0.801457 0.765401 0.835077
6.525806 0.800901 0.804503 0.766053 0.835749
6.535484 0.801564 0.807582 0.766704 0.836424
6.545161 0.802229 0.809467 0.767354 0.837103
6.554839 0.802894 0.810735 0.768003 0.837786
6.564516 0.803562 0.811240 0.768652 0.838472
6.574194 0.804232 0.810178 0.769300 0.839163
6.583871 0.804904 0.809591 0.769949 0.839858
6.593548 0.805578 0.810885 0.770599 0.840558
6.603226 0.806256 0.812591 0.771249 0.841263
6.612903 0.806937 0.813646 0.771901 0.841973
6.622581 0.807622 0.812846 0.772554 0.842689
6.632258 0.808310 0.810692 0.773210 0.843410
6.641935 0.809003 0.807061 0.773868 0.844138
6.651613 0.809701 0.803023 0.774530 0.844872
6.661290 0.810404 0.799075 0.775195 0.845613
6.670968 0.811112 0.795226 0.775863 0.846361
6.680645 0.811826 0.792699 0.776537 0.847116
6.690323 0.812547 0.792091 0.777215 0.847879
6.700000 0.813274 0.792422 0.777898 0.848650
6.709677 0.814008 0.794421 0.778587 0.849429
6.719355 0.814750 0.797111 0.779283 0.850218
6.729032 0.815500 0.799680 0.779985 0.851015
6.738710 0.816258 0.802125 0.780695 0.851822
6.748387 0.817025 0.805066 0.781412 0.852639
6.758065 0.817802 0.807137 0.782138 0.853466
6.767742 0.818588 0.808763 0.782872 0.854303
6.777419 0.819384 0.810599 0.783615 0.855152
6.787097 0.820190 0.812380 0.784368 0.856011
6.796774 0.821007 0.814024 0.785132 0.856883
6.806452 0.821836 0.816107 0.785905 0.857766
6.816129 0.822676 0.818908 0.786690 0.858662
6.825806 0.823528 0.821639 0.787486 0.859570
6.835484 0.824393 0.822323 0.788294 0.860491
6.845161 0.825270 0.821877 0.789115 0.861426
6.854839 0.826161 0.822577 0.789948 0.862374
6.864516 0.827065 0.823452 0.790794 0.863336
6.874194 0.827983 0.823239 0.791654 0.864313
6.883871 0.828915 0.823876 0.792527 0.865303
6.893548 0.829862 0.824369 0.793415 0.866309
6.903226 0.830823 0.822950 0.794317 0.867329
6.912903 0.831800 0.821643 0.795234 0.868365
6.922581 0.832791 0.821315 0.796166 0.869416
6.932258 0.833799 0.821775 0.797114 0.870483
6.941935 0.834822 0.822785 0.798077 0.871566
6.951613 0.835861 0.823821 0.799057 0.872665
6.961290 0.836916 0.824883 0.800052 0.873780
6.970968 0.837988 0.825277 0.801064 0.874911
6.980645 0.839076 0.824658 0.802092 0.876059
6.990323 0.840181 0.824897 0.803137 0.877224
7.000000 0.841302 0.826467 0.804199 0.878405
7.009677 0.842440 0.827410 0.805278 0.879603
7.019355 0.843596 0.827716 0.806374 0.880817
7.029032 0.844768 0.828126 0.807488 0.882049
7.038710 0.845957 0.828732 0.808618 0.883297
7.048387 0.847163 0.830237 0.809765 0.884562
7.058065 0.848387 0.832318 0.810930 0.885843
7.067742 0.849627 0.832925 0.812112 0.887142
7.077419 0.850884 0.832736 0.813311 0.888457
7.087097 0.852157 0.835145 0.814527 0.889788
7.096774 0.853448 0.839858 0.815760 0.891135
7.106452 0.854754 0.842535 0.817009 0.892499
7.116129 0.856077 0.843243 0.818276 0.893879
7.125806 0.857416 0.844722 0.819558 0.895274
7.135484 0.858771 0.847877 0.820857 0.896685
7.145161 0.860142 0.849953 0.822173 0.898111
7.154839 0.861528 0.849349 0.823503 0.899552
7.164516 0.862929 0.848388 0.824850 0.901008
7.174194 0.864345 0.847402 0.826211 0.902478
7.183871 0.865775 0.846392 0.827587 0.903962
7.193548 0.867219 0.845366 0.828978 0.905459
7.203226 0.868676 0.844957 0.830383 0.906970
7.212903 0.870147 0.846696 0.831802 0.908493
7.222581 0.871631 0.849835 0.833234 0.910028
7.232258 0.873127 0.854074 0.834678 0.911575
7.241935 0.874635 0.859337 0.836135 0.913134
7.251613 0.876154 0.861930 0.837604 0.914703
7.261290 0.877683 0.863900 0.839085 0.916282
7.270968 0.879223 0.864856 0.840576 0.917871
7.280645 0.880773 0.867065 0.842078 0.919468
7.290323 0.882332 0.868959 0.843589 0.921075
7.300000 0.883899 0.869998 0.845109 0.922688
7.309677 0.885474 0.872372 0.846638 0.924309
7.319355 0.887056 0.874848 0.848175 0.925937
7.329032 0.888644 0.876955 0.849719 0.927570
7.338710 0.890239 0.876682 0.851269 0.929208
7.348387 0.891838 0.876530 0.852826 0.930851
7.358065 0.893442 0.877111 0.854387 0.932497
7.367742 0.895050 0.880361 0.855953 0.934147
7.377419 0.896661 0.883555 0.857523 0.935798
7.387097 0.898273 0.885216 0.859096 0.937450
7.396774 0.899888 0.885971 0.860672 0.939104
7.406452 0.901503 0.886796 0.862249 0.940757
7.416129 0.903118 0.887688 0.863826 0.942409
7.425806 0.904732 0.888618 0.865404 0.944059
7.435484 0.906344 0.889404 0.866981 0.945706
7.445161 0.907954 0.890290 0.868557 0.947351
7.454839 0.909560 0.891533 0.870130 0.948990
7.464516 0.911163 0.894247 0.871700 0.950625
7.474194 0.912761 0.896427 0.873267 0.952254
7.483871 0.914352 0.899370 0.874829 0.953876
7.493548 0.915938 0.902495 0.876385 0.955491
7.503226 0.917516 0.905730 0.877935 0.957097
7.512903 0.919086 0.909071 0.879478 0.958694
7.522581 0.920647 0.912515 0.881013 0.960281
7.532258 0.922199 0.916310 0.882540 0.961857
7.541935 0.923739 0.920288 0.884057 0.963422
7.551613 0.925269 0.923743 0.885564 0.964973
7.561290 0.926786 0.927200 0.887060 0.966512
7.570968 0.928290 0.930660 0.888544 0.968037
7.580645 0.929781 0.933288 0.890016 0.969546
7.590323 0.931257 0.936971 0.891475 0.971040
7.600000 0.932718 0.939627 0.892919 0.972518
7.609677 0.934163 0.940312 0.894349 0.973978
7.619355 0.935592 0.941593 0.895763 0.975421
7.629032 0.937003 0.944371 0.897161 0.976844
7.638710 0.938395 0.947273 0.898542 0.978249
7.648387 0.939769 0.952380 0.899906 0.979633
7.658065 0.941124 0.956467 0.901251 0.980997
7.667742 0.942458 0.958662 0.902578 0.982339
7.677419 0.943772 0.960561 0.903884 0.983659
7.687097 0.945064 0.962365 0.905171 0.984957
7.696774 0.946334 0.964547 0.906437 0.986231
7.706452 0.947581 0.967244 0.907681 0.987481
7.716129 0.948806 0.969980 0.908904 0.988707
7.725806 0.950006 0.972671 0.910104 0.989908
7.735484 0.951182 0.975310 0.911281 0.991084
7.745161 0.952334 0.977895 0.912434 0.992233
7.754839 0.953460 0.980419 0.913563 0.993356
7.764516 0.954560 0.982879 0.914668 0.994452
7.774194 0.955634 0.985269 0.915748 0.995520
7.783871 0.956682 0.987586 0.916802 0.996561
7.793548 0.957702 0.989826 0.917831 0.997574
7.803226 0.958695 0.991986 0.918833 0.998558
7.812903 0.959661 0.994061 0.919809 0.999513
7.822581 0.960598 0.996048 0.920757 1.000438
7.832258 0.961507 0.998971 0.921679 1.001335
7.841935 0.962387 1.002369 0.922573 1.002201
7.851613 0.963239 1.005307 0.923439 1.003038
7.861290 0.964061 1.007468 0.924277 1.003844
7.870968 0.964854 1.006774 0.925087 1.004620
7.880645 0.965617 1.004896 0.925868 1.005366
7.890323 0.966351 1.002614 0.926621 1.006081
7.900000 0.967055 1.001112 0.927345 1.006765
7.909677 0.967729 1.000255 0.928040 1.007418
7.919355 0.968373 1.001268 0.928706 1.008040
7.929032 0.968987 1.001667 0.929342 1.008631
7.938710 0.969571 0.999231 0.929950 1.009192
7.948387 0.970125 0.996789 0.930528 1.009721
7.958065 0.970648 0.994338 0.931078 1.010219
7.967742 0.971142 0.991590 0.931597 1.010687
7.977419 0.971606 0.988831 0.932088 1.011123
7.987097 0.972040 0.987417 0.932550 1.011529
7.996774 0.972444 0.988690 0.932982 1.011905
8.006452 0.972818 0.991084 0.933386 1.012250
8.016129 0.973163 0.993467 0.933761 1.012565
8.025806 0.973478 0.995702 0.934107 1.012849
8.035484 0.973764 0.996959 0.934424 1.013104
8.045161 0.974021 0.997530 0.934713 1.013330
8.054839 0.974250 0.997878 0.934974 1.013526
8.064516 0.974449 0.998097 0.935206 1.013693
8.074194 0.974621 0.998300 0.935411 1.013831
8.083871 0.974765 0.998484 0.935589 1.013940
8.093548 0.974880 0.998649 0.935739 1.014022
8.103226 0.974969 0.998795 0.935862 1.014075
8.112903 0.975030 0.998769 0.935958 1.014101
8.122581 0.975064 0.998548 0.936028 1.014100
8.132258 0.975072 0.998235 0.936072 1.014073
8.141935 0.975054 0.997834 0.936090 1.014018
8.151613 0.975010 0.997346 0.936082 1.013938
8.161290 0.974941 0.996777 0.936050 1.013832
8.170968 0.974847 0.996130 0.935992 1.013702
8.180645 0.974728 0.995408 0.935910 1.013546
8.190323 0.974585 0.994615 0.935804 1.013366
8.200000 0.974419 0.993757 0.935675 1.013163
8.209677 0.974229 0.992607 0.935522 1.012936
8.219355 0.974016 0.990980 0.935346 1.012686
8.229032 0.973780 0.990522 0.935148 1.012413
8.238710 0.973523 0.991881 0.934927 1.012119
8.248387 0.973244 0.993295 0.934685 1.011803
8.258065 0.972944 0.994158 0.934422 1.011467
8.267742 0.972624 0.993722 0.934138 1.011109
8.277419 0.972283 0.992608 0.933833 1.010732
8.287097 0.971922 0.991508 0.933509 1.010336
8.296774 0.971542 0.990951 0.933165 1.009920
8.306452 0.971144 0.990742 0.932802 1.009486
8.316129 0.970727 0.989489 0.932420 1.009034
8.325806 0.970292 0.987925 0.932020 1.008564
8.335484 0.969840 0.987296 0.931602 1.008078
8.345161 0.969371 0.989729 0.931166 1.007575
8.354839 0.968885 0.992888 0.930714 1.007056
8.364516 0.968383 0.991963 0.930245 1.006522
8.374194 0.967866 0.988783 0.929760 1.005972
8.383871 0.967334 0.985071 0.929260 1.005408
8.393548 0.966787 0.983257 0.928744 1.004831
8.403226 0.966226 0.983146 0.928213 1.004240
8.412903 0.965652 0.983045 0.927668 1.003636
8.422581 0.965064 0.982553 0.927109 1.003019
8.432258 0.964464 0.980758 0.926536 1.002391
8.441935 0.963851 0.979019 0.925950 1.001751
8.451613 0.963226 0.977951 0.925352 1.001100
8.461290 0.962590 0.976072 0.924741 1.000439
8.470968 0.961943 0.974512 0.924118 0.999768
8.480645 0.961285 0.973823 0.923484 0.999087
8.490323 0.960617 0.972860 0.922838 0.998397
8.500000 0.959940 0.971298 0.922182 0.997698
8.509677 0.959253 0.968475 0.921515 0.996992
8.519355 0.958558 0.965656 0.920838 0.996277
8.529032 0.957854 0.962842 0.920152 0.995556
8.538710 0.957142 0.960036 0.919457 0.994827
8.548387 0.956422 0.957238 0.918752 0.994093
8.558065 0.955696 0.954553 0.918039 0.993352
8.567742 0.954962 0.952645 0.917318 0.992606
8.577419 0.954222 0.952073 0.916589 0.991855
8.587097 0.953476 0.951093 0.915853 0.991099
8.596774 0.952724 0.948421 0.915110 0.990339
8.606452 0.951968 0.945737 0.914360 0.989576
8.616129 0.951206 0.943043 0.913603 0.988808
8.625806 0.950440 0.940452 0.912841 0.988038
8.635484 0.949669 0.939031 0.912072 0.987266
8.645161 0.948895 0.939779 0.911299 0.986491
8.654839 0.948117 0.938824 0.910520 0.985714
8.664516 0.947336 0.936914 0.909737 0.984936
8.674194 0.946553 0.936803 0.908949 0.984157
8.683871 0.945767 0.937582 0.908157 0.983377
8.693548 0.944979 0.937024 0.907361 0.982597
8.703226 0.944189 0.936558 0.906561 0.981817
8.712903 0.943398 0.936207 0.905759 0.981037
8.722581 0.942606 0.936523 0.904953 0.980258
8.732258 0.941813 0.937525 0.904145 0.979480
8.741935 0.941019 0.939212 0.903335 0.978703
8.751613 0.940225 0.941130 0.902523 0.977928
8.761290 0.939432 0.943070 0.901709 0.977155
8.770968 0.938639 0.942596 0.900893 0.976384
8.780645 0.937846 0.943275 0.900076 0.975616
8.790323 0.937055 0.943007 0.899259 0.974851
8.800000 0.936265 0.943472 0.898440 0.974089
8.809677 0.935476 0.946172 0.897622 0.973331
8.819355 0.934690 0.946527 0.896803 0.972576
8.829032 0.933905 0.944098 0.895984 0.971826
8.838710 0.933123 0.942309 0.895166 0.971079
8.848387 0.932343 0.941337 0.894348 0.970338
8.858065 0.931566 0.940357 0.893532 0.969601
8.867742 0.930793 0.939404 0.892716 0.968869
8.877419 0.930022 0.938560 0.891902 0.968142
8.887097 0.929255 0.936524 0.891090 0.967421
8.896774 0.928492 0.934400 0.890279 0.966706
8.906452 0.927733 0.931577 0.889470 0.965997
8.916129 0.926979 0.930198 0.888664 0.965293
8.925806 0.926228 0.927951 0.887860 0.964596
8.935484 0.925483 0.925572 0.887059 0.963906
8.945161 0.924742 0.923218 0.886261 0.963222
8.954839 0.924006 0.920890 0.885466 0.962546
8.964516 0.923275 0.919613 0.884675 0.961876
8.974194 0.922550 0.919366 0.883887 0.961214
8.983871 0.921831 0.919037 0.883103 0.960558
8.993548 0.921117 0.918016 0.882322 0.959911
9.003226 0.920409 0.917762 0.881546 0.959271
9.012903 0.919707 0.917765 0.880774 0.958639
9.022581 0.919011 0.917823 0.880007 0.958015
9.032258 0.918321 0.917937 0.879244 0.957398
9.041935 0.917638 0.918104 0.878486 0.956790
9.051613 0.916962 0.918325 0.877733 0.956191
9.061290 0.916292 0.918599 0.876986 0.955599
9.070968 0.915629 0.918923 0.876243 0.955016
9.080645 0.914974 0.919043 0.875506 0.954441
9.090323 0.914325 0.917104 0.874774 0.953875
9.100000 0.913683 0.913985 0.874048 0.953318
9.109677 0.913049 0.910724 0.873328 0.952769
9.119355 0.912421 0.906636 0.872614 0.952229
9.129032 0.911802 0.904419 0.871906 0.951698
9.138710 0.911190 0.903157 0.871204 0.951176
9.148387 0.910585 0.901969 0.870508 0.950662
9.158065 0.909988 0.900854 0.869818 0.950157
9.167742 0.909398 0.899313 0.869135 0.949662
9.177419 0.908817 0.898277 0.868459 0.949175
9.187097 0.908243 0.897960 0.867789 0.948697
9.196774 0.907677 0.897852 0.867126 0.948228
9.206452 0.907119 0.897992 0.866470 0.947768
9.216129 0.906568 0.898584 0.865820 0.947316
9.225806 0.906026 0.899390 0.865178 0.946874
9.235484 0.905491 0.899507 0.864542 0.946441
9.245161 0.904965 0.898441 0.863913 0.946016
9.254839 0.904446 0.897896 0.863292 0.945600
9.264516 0.903936 0.898012 0.862678 0.945193
9.274194 0.903433 0.897270 0.862070 0.944795
9.283871 0.902938 0.895464 0.861470 0.944406
9.293548 0.902451 0.894508 0.860878 0.944025
9.303226 0.901973 0.895134 0.860292 0.943653
9.312903 0.901502 0.896327 0.859714 0.943289
9.322581 0.901039 0.897565 0.859143 0.942934
9.332258 0.900583 0.898146 0.858580 0.942587
9.341935 0.900136 0.897974 0.858023 0.942249
9.351613 0.899697 0.896933 0.857475 0.941919
9.361290 0.899265 0.895192 0.856933 0.941597
9.370968 0.898841 0.893401 0.856399 0.941284
9.380645 0.898425 0.891636 0.855872 0.940978
9.390323 0.898017 0.889897 0.855352 0.940681
9.400000 0.897616 0.888184 0.854840 0.940391
9.409677 0.897222 0.886499 0.854335 0.940110
9.419355 0.896837 0.884842 0.853838 0.939836
9.429032 0.896458 0.883212 0.853347 0.939569
9.438710 0.896087 0.881611 0.852864 0.939311
9.448387 0.895724 0.880038 0.852388 0.939060
9.458065 0.895368 0.878494 0.851919 0.938816
9.467742 0.895019 0.876978 0.851458 0.938580
9.477419 0.894677 0.875493 0.851003 0.938351
9.487097 0.894342 0.874036 0.850556 0.938129
9.496774 0.894015 0.872844 0.850116 0.937914
9.506452 0.893694 0.872450 0.849682 0.937706
9.516129 0.893381 0.872723 0.849256 0.937505
9.525806 0.893074 0.873016 0.848836 0.937311
9.535484 0.892774 0.873329 0.848424 0.937124
9.545161 0.892480 0.873165 0.848018 0.936943
9.554839 0.892194 0.872049 0.847619 0.936768
9.564516 0.891914 0.870718 0.847227 0.936600
9.574194 0.891640 0.869393 0.846841 0.936439
9.583871 0.891373 0.868074 0.846462 0.936283
9.593548 0.891112 0.866897 0.846090 0.936134
9.603226 0.890857 0.866527 0.845724 0.935990
9.612903 0.890609 0.867264 0.845364 0.935853
9.622581 0.890366 0.868016 0.845011 0.935721
9.632258 0.890130 0.868635 0.844665 0.935595
9.641935 0.889899 0.868543 0.844324 0.935475
9.651613 0.889675 0.867559 0.843990 0.935360
9.661290 0.889456 0.866631 0.843662 0.935250
9.670968 0.889243 0.865881 0.843340 0.935146
9.680645 0.889036 0.866191 0.843024 0.935048
9.690323 0.888834 0.868443 0.842714 0.934954
9.700000 0.888638 0.870739 0.842410 0.934866
9.709677 0.888447 0.873076 0.842111 0.934782
9.719355 0.888261 0.875371 0.841819 0.934704
9.729032 0.888081 0.877159 0.841532 0.934630
9.738710 0.887906 0.878052 0.841251 0.934561
9.748387 0.887736 0.878953 0.840975 0.934496
9.758065 0.887571 0.879862 0.840705 0.934437
9.767742 0.887411 0.880778 0.840440 0.934381
9.777419 0.887256 0.881700 0.840181 0.934330
9.787097 0.887105 0.882627 0.839927 0.934284
9.796774 0.886960 0.883560 0.839679 0.934241
9.806452 0.886819 0.884498 0.839435 0.934203
9.816129 0.886683 0.885440 0.839197 0.934169
9.825806 0.886551 0.886386 0.838964 0.934139
9.835484 0.886424 0.887335 0.838736 0.934112
9.845161 0.886301 0.888287 0.838512 0.934090
9.854839 0.886183 0.889098 0.838294 0.934071
9.864516 0.886068 0.888786 0.838080 0.934057
9.874194 0.885958 0.888067 0.837872 0.934045
9.883871 0.885853 0.887329 0.837668 0.934038
9.893548 0.885751 0.886705 0.837468 0.934033
9.903226 0.885653 0.887455 0.837273 0.934033
9.912903 0.885559 0.888293 0.837083 0.934035
9.922581 0.885469 0.889149 0.836897 0.934041
9.932258 0.885383 0.890377 0.836716 0.934050
9.941935 0.885301 0.892370 0.836539 0.934063
9.951613 0.885222 0.894370 0.836366 0.934078
9.961290 0.885147 0.896273 0.836198 0.934097
9.970968 0.885076 0.897835 0.836033 0.934118
9.980645 0.885008 0.899611 0.835873 0.934143
9.990323 0.884944 0.901372 0.835717 0.934170
10.000000 0.884883 0.901833 0.835565 0.934201
