Seismic Vulnerability Index of Microtremor (SVIM) Output
Station =  c0c02231120035925
Longitude =  1.000000
Latitude =  2.000000
Window =  62
Length Window =  25
Standard Deviation (F0) =  0.354545
A0 =  3.901196
F0 =  0.177419
Kg =  85.781677
Fmin =  0.062903
Fmax =  0.500415
Freq     H/V      SpecH/V  MinStd   MaxStd 
1.270968 3.066975 3.164016 2.772615 3.361335
1.280645 3.032581 3.132621 2.746931 3.318232
1.290323 2.993794 3.065893 2.716879 3.270708
1.300000 2.950852 3.005806 2.682584 3.219120
1.309677 2.904143 3.058015 2.644337 3.163948
1.319355 2.854177 2.911950 2.602575 3.105780
1.329032 2.801568 2.935937 2.557847 3.045288
1.338710 2.746995 2.881665 2.510786 2.983203
1.348387 2.691174 2.776499 2.462064 2.920283
1.358065 2.634822 2.680329 2.412360 2.857283
1.367742 2.578623 2.598764 2.362326 2.794919
1.377419 2.523201 2.458685 2.312558 2.733843
1.387097 2.469096 2.363526 2.263576 2.674616
1.396774 2.416747 2.311232 2.215806 2.617687
1.406452 2.366482 2.293646 2.169578 2.563386
1.416129 2.318517 2.304384 2.125117 2.511916
1.425806 2.272956 2.201113 2.082557 2.463355
1.435484 2.229804 2.166365 2.041942 2.417666
1.445161 2.188979 2.167763 2.003245 2.374713
1.454839 2.150326 2.134804 1.966379 2.334274
1.464516 2.113637 2.116120 1.931210 2.296064
1.474194 2.078667 2.095638 1.897576 2.259757
1.483871 2.045149 2.051682 1.865295 2.225003
1.493548 2.012811 2.001884 1.834176 2.191446
1.503226 1.981385 1.952243 1.804028 2.158741
1.512903 1.950617 1.947174 1.774665 2.126569
1.522581 1.920275 1.943749 1.745912 2.094638
1.532258 1.890151 1.900306 1.717602 2.062699
1.541935 1.860062 1.889579 1.689583 2.030541
1.551613 1.829857 1.848593 1.661717 1.997997
1.561290 1.799408 1.847529 1.633878 1.964938
1.570968 1.768616 1.812479 1.605955 1.931277
1.580645 1.737406 1.764318 1.577852 1.896960
1.590323 1.705727 1.733047 1.549487 1.861966
1.600000 1.673551 1.727685 1.520799 1.826303
1.609677 1.640871 1.712662 1.491741 1.790001
1.619355 1.607701 1.646069 1.462288 1.753114
1.629032 1.574073 1.568495 1.432434 1.715711
1.638710 1.540037 1.528503 1.402195 1.677880
1.648387 1.505661 1.528644 1.371605 1.639717
1.658065 1.471027 1.523653 1.340722 1.601333
1.667742 1.436229 1.485959 1.309617 1.562841
1.677419 1.401371 1.437662 1.278380 1.524362
1.687097 1.366565 1.404801 1.247111 1.486019
1.696774 1.331927 1.363469 1.215920 1.447933
1.706452 1.297574 1.315289 1.184924 1.410224
1.716129 1.263622 1.271592 1.154238 1.373005
1.725806 1.230182 1.237512 1.123978 1.336386
1.735484 1.197358 1.189470 1.094252 1.300464
1.745161 1.165244 1.141599 1.065159 1.265328
1.754839 1.133923 1.091974 1.036791 1.231056
1.764516 1.103468 1.051767 1.009222 1.197714
1.774194 1.073937 1.031917 0.982516 1.165357
1.783871 1.045374 1.013369 0.956722 1.134026
1.793548 1.017813 0.994049 0.931872 1.103754
1.803226 0.991275 0.977349 0.907990 1.074561
1.812903 0.965770 0.936188 0.885082 1.046458
1.822581 0.941298 0.909889 0.863147 1.019450
1.832258 0.917852 0.904049 0.842173 0.993532
1.841935 0.895418 0.886651 0.822140 0.968695
1.851613 0.873974 0.854512 0.803022 0.944925
1.861290 0.853497 0.831229 0.784789 0.922204
1.870968 0.833959 0.821580 0.767408 0.900510
1.880645 0.815332 0.805579 0.750843 0.879821
1.890323 0.797583 0.782468 0.735057 0.860110
1.900000 0.780682 0.759430 0.720014 0.841351
1.909677 0.764596 0.737565 0.705677 0.823516
1.919355 0.749293 0.724554 0.692011 0.806574
1.929032 0.734739 0.714833 0.678982 0.790496
1.938710 0.720903 0.697226 0.666558 0.775249
1.948387 0.707753 0.678387 0.654705 0.760800
1.958065 0.695255 0.665329 0.643395 0.747115
1.967742 0.683379 0.653220 0.632599 0.734159
1.977419 0.672092 0.646481 0.622289 0.721895
1.987097 0.661364 0.644295 0.612441 0.710287
1.996774 0.651164 0.637115 0.603029 0.699298
2.006452 0.641461 0.628935 0.594032 0.688891
2.016129 0.632229 0.622531 0.585428 0.679030
2.025806 0.623439 0.613544 0.577200 0.669679
2.035484 0.615067 0.605477 0.569329 0.660805
2.045161 0.607088 0.596267 0.561800 0.652376
2.054839 0.599482 0.586582 0.554602 0.644362
2.064516 0.592230 0.590519 0.547722 0.636738
2.074194 0.585316 0.589939 0.541153 0.629479
2.083871 0.578727 0.579108 0.534888 0.622565
2.093548 0.572452 0.566184 0.528923 0.615981
2.103226 0.566484 0.557481 0.523255 0.609713
2.112903 0.560817 0.550659 0.517884 0.603751
2.122581 0.555449 0.546578 0.512809 0.598089
2.132258 0.550380 0.540548 0.508035 0.592724
2.141935 0.545610 0.533221 0.503564 0.587656
2.151613 0.541144 0.521089 0.499399 0.582888
2.161290 0.536986 0.513303 0.495547 0.578425
2.170968 0.533141 0.516261 0.492010 0.574271
2.180645 0.529616 0.520720 0.488795 0.570436
2.190323 0.526417 0.523894 0.485906 0.566928
2.200000 0.523551 0.517546 0.483347 0.563756
2.209677 0.521025 0.507556 0.481121 0.560928
2.219355 0.518842 0.498144 0.479230 0.558455
2.229032 0.517009 0.493604 0.477676 0.556342
2.238710 0.515529 0.493992 0.476459 0.554598
2.248387 0.514403 0.491017 0.475578 0.553229
2.258065 0.513633 0.489894 0.475030 0.552237
2.267742 0.513219 0.489119 0.474813 0.551625
2.277419 0.513157 0.487797 0.474920 0.551394
2.287097 0.513444 0.486099 0.475346 0.551542
2.296774 0.514074 0.483124 0.476082 0.552065
2.306452 0.515038 0.487341 0.477121 0.552956
2.316129 0.516329 0.493705 0.478450 0.554208
2.325806 0.517934 0.497664 0.480060 0.555809
2.335484 0.519842 0.497947 0.481936 0.557747
2.345161 0.522037 0.501039 0.484066 0.560007
2.354839 0.524503 0.504594 0.486434 0.562572
2.364516 0.527224 0.511151 0.489024 0.565424
2.374194 0.530181 0.515778 0.491820 0.568542
2.383871 0.533354 0.511585 0.494804 0.571904
2.393548 0.536722 0.511497 0.497957 0.575488
2.403226 0.540264 0.518789 0.501260 0.579268
2.412903 0.543957 0.530204 0.504694 0.583221
2.422581 0.547779 0.539322 0.508239 0.587319
2.432258 0.551706 0.546579 0.511875 0.591538
2.441935 0.555716 0.551035 0.515582 0.595851
2.451613 0.559786 0.550732 0.519340 0.600233
2.461290 0.563893 0.550508 0.523129 0.604657
2.470968 0.568015 0.556080 0.526929 0.609101
2.480645 0.572132 0.563395 0.530724 0.613540
2.490323 0.576222 0.575280 0.534494 0.617951
2.500000 0.580269 0.583192 0.538223 0.622315
2.509677 0.584254 0.586979 0.541895 0.626612
2.519355 0.588161 0.592127 0.545496 0.630826
2.529032 0.591978 0.596130 0.549014 0.634941
2.538710 0.595691 0.601149 0.552437 0.638945
2.548387 0.599290 0.600186 0.555754 0.642826
2.558065 0.602768 0.612335 0.558959 0.646577
2.567742 0.606119 0.617123 0.562045 0.650192
2.577419 0.609338 0.625230 0.565008 0.653668
2.587097 0.612423 0.636995 0.567845 0.657002
2.596774 0.615375 0.639598 0.570555 0.660196
2.606452 0.618195 0.644299 0.573138 0.663252
2.616129 0.620887 0.648455 0.575598 0.666176
2.625806 0.623456 0.646660 0.577937 0.668974
2.635484 0.625908 0.648108 0.580161 0.671654
2.645161 0.628250 0.645526 0.582276 0.674225
2.654839 0.630493 0.642269 0.584289 0.676697
2.664516 0.632645 0.638924 0.586208 0.679082
2.674194 0.634716 0.635617 0.588041 0.681392
2.683871 0.636718 0.631082 0.589798 0.683638
2.693548 0.638660 0.630630 0.591487 0.685833
2.703226 0.640554 0.637322 0.593119 0.687988
2.712903 0.642410 0.642892 0.594702 0.690117
2.722581 0.644238 0.644415 0.596246 0.692230
2.732258 0.646048 0.642459 0.597759 0.694337
2.741935 0.647849 0.638420 0.599248 0.696449
2.751613 0.649648 0.633531 0.600722 0.698574
2.761290 0.651453 0.632925 0.602187 0.700720
2.770968 0.653271 0.638353 0.603648 0.702894
2.780645 0.655106 0.641120 0.605111 0.705101
2.790323 0.656962 0.642211 0.606580 0.707345
2.800000 0.658843 0.644751 0.608057 0.709629
2.809677 0.660750 0.648310 0.609546 0.711955
2.819355 0.662685 0.650820 0.611047 0.714324
2.829032 0.664647 0.654739 0.612561 0.716734
2.838710 0.666637 0.659196 0.614089 0.719184
2.848387 0.668651 0.664984 0.615629 0.721673
2.858065 0.670688 0.672036 0.617181 0.724196
2.867742 0.672746 0.677043 0.618742 0.726749
2.877419 0.674820 0.677981 0.620312 0.729328
2.887097 0.676907 0.677235 0.621887 0.731928
2.896774 0.679005 0.677102 0.623466 0.734544
2.906452 0.681107 0.678712 0.625046 0.737169
2.916129 0.683212 0.681391 0.626625 0.739798
2.925806 0.685314 0.683062 0.628202 0.742425
2.935484 0.687410 0.681050 0.629774 0.745046
2.945161 0.689497 0.682370 0.631341 0.747653
2.954839 0.691572 0.685930 0.632901 0.750243
2.964516 0.693632 0.691564 0.634453 0.752810
2.974194 0.695674 0.696873 0.635999 0.755350
2.983871 0.697698 0.700579 0.637537 0.757859
2.993548 0.699702 0.704122 0.639069 0.760334
3.003226 0.701684 0.708172 0.640597 0.762772
3.012903 0.703645 0.711651 0.642121 0.765170
3.022581 0.705585 0.713326 0.643644 0.767526
3.032258 0.707504 0.713432 0.645169 0.769839
3.041935 0.709403 0.716211 0.646697 0.772108
3.051613 0.711283 0.719129 0.648233 0.774332
3.061290 0.713145 0.720840 0.649778 0.776511
3.070968 0.714991 0.725236 0.651337 0.778646
3.080645 0.716823 0.725402 0.652911 0.780735
3.090323 0.718643 0.725877 0.654505 0.782781
3.100000 0.720451 0.733319 0.656120 0.784783
3.109677 0.722251 0.734962 0.657759 0.786743
3.119355 0.724043 0.727145 0.659424 0.788662
3.129032 0.725828 0.722909 0.661116 0.790540
3.138710 0.727608 0.721901 0.662838 0.792378
3.148387 0.729383 0.719588 0.664590 0.794177
3.158065 0.731154 0.718503 0.666371 0.795937
